MQ2,Soil,LDR,RoomTemp,Humidity,WaterTemp,Weight,Pred_Soil,Pred_RoomTemp,Pred_Humidity,Pred_WaterTemp
219.0,0.0,4079.0,22.7,46.4,21.62,339.1,0.38866004,0.11280803,0.54924494,0.42978886
224.0,0.0,4095.0,22.7,46.4,21.62,339.08,0.44002149,0.12778172,0.5890296,0.46457747
218.0,0.0,4095.0,22.7,46.4,21.62,339.09,0.48961854,0.13393141,0.6342726,0.49785727
189.0,0.0,4095.0,22.7,46.7,21.62,0.02,0.54252374,0.14680232,0.67144424,0.5268371
208.0,0.0,4095.0,22.7,46.7,21.62,0.05,0.59503394,0.16036047,0.7100198,0.5563872
202.0,0.0,4095.0,22.7,46.6,21.62,0.08,0.6501632,0.17581579,0.7474279,0.5834248
208.0,0.0,4095.0,22.7,47.1,21.62,338.89,0.0,22.7,47.1,21.62
236.0,0.0,1680.0,22.7,47.0,21.69,339.57,0.0,22.7,47.0,21.69
278.0,2649.0,1615.0,22.9,47.1,21.62,339.16,2649.0,22.9,47.1,21.62
288.0,2689.0,1562.0,22.7,47.0,21.62,339.28,2689.0,22.7,47.0,21.62
294.0,2693.0,1412.0,22.7,47.0,21.62,339.3,2693.0,22.7,47.0,21.62
304.0,2686.0,1535.0,22.7,46.9,21.69,339.33,2686.0,22.7,46.9,21.69
318.0,2674.0,1559.0,22.7,46.9,21.62,339.29,2674.0,22.7,46.9,21.62
304.0,2685.0,1569.0,22.7,46.8,21.62,339.17,2685.0,22.7,46.8,21.62
321.0,2704.0,4095.0,22.7,46.8,21.62,339.13,2704.0,22.7,46.8,21.62
304.0,2731.0,4095.0,22.7,46.9,21.62,338.98,2731.0,22.7,46.9,21.62
297.0,2705.0,4095.0,22.7,46.8,21.69,338.99,2705.0,22.7,46.8,21.69
293.0,2706.0,4095.0,22.7,46.7,21.69,339.0,2706.0,22.7,46.7,21.69
285.0,2653.0,4095.0,22.7,46.8,21.69,338.97,2653.0,22.7,46.8,21.69
289.0,2687.0,4095.0,22.7,46.8,21.69,339.01,2687.0,22.7,46.8,21.69
277.0,0.0,4095.0,22.8,46.9,21.69,339.69,0.0,22.8,46.9,21.69
276.0,3309.0,4004.0,22.8,46.9,21.62,339.46,3309.0,22.8,46.9,21.62
256.0,3298.0,4095.0,22.6,46.9,21.62,339.33,3298.0,22.6,46.9,21.62
259.0,3220.0,4095.0,22.6,47.2,21.62,339.39,3220.0,22.6,47.2,21.62
249.0,3050.0,1840.0,22.6,47.2,21.69,339.38,3050.0,22.6,47.2,21.69
273.0,2934.0,1843.0,22.8,47.1,21.62,339.46,2934.0,22.8,47.1,21.62
274.0,2899.0,4095.0,22.7,47.1,21.69,339.49,2899.0,22.7,47.1,21.69
261.0,2915.0,4095.0,22.7,47.1,21.62,339.4,2915.0,22.7,47.1,21.62
256.0,2890.0,4095.0,22.6,47.1,21.62,339.33,2890.0,22.6,47.1,21.62
241.0,2817.0,4095.0,22.6,47.0,21.69,339.32,2817.0,22.6,47.0,21.69
246.0,2807.0,4095.0,22.6,47.1,21.69,339.3,2807.0,22.6,47.1,21.69
247.0,2837.0,4095.0,22.6,47.0,21.62,339.32,2837.0,22.6,47.0,21.62
247.0,2814.0,4095.0,22.7,47.1,21.62,339.35,2814.0,22.7,47.1,21.62
245.0,2806.0,4095.0,22.6,47.0,21.69,339.27,2806.0,22.6,47.0,21.69
247.0,2794.0,4095.0,22.6,47.1,21.69,339.36,2794.0,22.6,47.1,21.69
247.0,2789.0,4095.0,22.6,47.1,21.69,339.33,2789.0,22.6,47.1,21.69
248.0,2765.0,4095.0,22.8,47.1,21.69,339.3,2765.0,22.8,47.1,21.69
242.0,2779.0,4095.0,22.6,47.1,21.69,339.27,2779.0,22.6,47.1,21.69
254.0,2779.0,4095.0,22.6,47.2,21.75,339.28,2779.0,22.6,47.2,21.75
240.0,2721.0,4095.0,22.7,47.2,21.69,339.27,2721.0,22.7,47.2,21.69
240.0,2710.0,4095.0,22.6,47.3,21.69,339.3,0.24354033,-0.20480925,-0.20763542,0.039194547
240.0,2756.0,4095.0,22.7,47.2,21.69,339.32,0.2856436,-0.17871433,-0.20084988,0.020977132
242.0,2704.0,4095.0,22.6,47.3,21.69,339.3,0.3277503,-0.15244323,-0.19399202,0.0028274595
240.0,2708.0,4095.0,22.6,47.2,21.69,339.34,0.3698961,-0.12607323,-0.18707103,-0.0152703775
247.0,2764.0,4095.0,22.6,47.1,21.62,339.28,0.41231465,-0.098730765,-0.17883821,-0.03423674
244.0,2767.0,4095.0,22.6,47.1,21.62,339.28,0.4573723,-0.06811565,-0.16707636,-0.057093352
240.0,2707.0,4095.0,22.6,47.2,21.69,339.29,0.5062404,-0.03939472,-0.15661947,-0.07935562
247.0,2763.0,4095.0,22.6,47.3,21.69,339.26,0.5331354,0.001121216,-0.059695188,-0.24604529
247.0,2755.0,4095.0,22.6,47.3,21.69,339.28,0.57411426,0.016750878,-0.034969643,-0.26061535
242.0,2762.0,4095.0,22.5,47.3,21.69,339.31,0.61402994,0.029702555,-0.009771426,-0.27248046
243.0,2761.0,4095.0,22.6,47.2,21.69,339.26,0.65585256,0.04273968,0.01572886,-0.28547356
246.0,2754.0,4095.0,22.6,47.3,21.69,339.3,0.69907665,0.05543565,0.033293743,-0.29911733
240.0,2755.0,4095.0,22.8,47.3,21.69,339.29,0.74249935,0.06838211,0.050493885,-0.31244746
244.0,2765.0,4095.0,22.6,47.3,21.69,339.3,0.83019567,0.10123828,0.084085956,-0.34303367
254.0,2754.0,4095.0,22.6,47.3,21.62,339.32,0.92330855,0.1386905,0.11505172,-0.37501955
241.0,2755.0,4095.0,22.6,47.3,21.69,339.31,1.0221764,0.17608362,0.14469452,-0.40516967
244.0,2736.0,4095.0,22.6,47.2,21.69,339.24,1.1214437,0.21172386,0.17206277,-0.43153554
240.0,2757.0,4095.0,22.6,47.3,21.69,339.3,1.201947,0.15978096,0.1613016,-0.3058577
240.0,2750.0,4095.0,22.6,47.2,21.69,339.28,1.2865041,0.19675374,0.18360335,-0.31102082
238.0,2687.0,4095.0,22.6,47.2,21.69,339.25,1.3734804,0.23677298,0.20799646,-0.31408718
244.0,2754.0,4095.0,22.6,47.2,21.69,339.33,1.5694075,0.18493469,0.2576477,-0.4422671
246.0,2747.0,4095.0,22.6,47.3,21.69,339.28,1.6552792,0.22796153,0.29102165,-0.44682685
246.0,2749.0,4095.0,22.6,47.3,21.69,339.25,1.7455188,0.27305213,0.32777658,-0.4502654
241.0,2749.0,4095.0,22.8,47.4,21.69,339.3,1.8399477,0.3207193,0.36779365,-0.45209068
242.0,2739.0,4095.0,22.6,47.3,21.69,339.32,1.9385145,0.37125129,0.41125587,-0.4519639
252.0,2739.0,4095.0,22.6,47.4,21.69,339.28,2.0410032,0.42482576,0.45808646,-0.44957456
242.0,2673.0,4095.0,22.5,47.4,21.69,339.22,2.1474326,0.48168802,0.50833637,-0.44473112
243.0,2947.0,4095.0,22.5,47.4,21.69,339.34,2.2577775,0.54186743,0.5620006,-0.43734217
243.0,2811.0,4095.0,22.5,47.5,21.69,339.25,2.3721013,0.60549176,0.619087,-0.42726547
239.0,2758.0,4095.0,22.6,47.6,21.69,339.3,2.4902222,0.672602,0.67959154,-0.4143526
257.0,2783.0,4095.0,22.6,47.6,21.69,339.38,2.6123688,0.7433677,0.74357146,-0.3984988
274.0,3120.0,1259.0,22.6,47.5,21.69,339.4,2.3912308,1.3161857,0.3610105,-0.27704754
274.0,2850.0,4095.0,22.6,47.5,21.69,339.35,2.8682485,0.8957914,0.881791,-0.35768422
272.0,2704.0,4095.0,22.6,47.7,21.62,0.08,3.0166628,1.0544162,0.8336382,-0.35504976
256.0,0.0,3775.0,22.7,47.6,21.75,336.79,0.0,22.7,47.6,21.75
272.0,0.0,3530.0,22.7,47.5,21.75,337.13,0.0,22.7,47.5,21.75
278.0,0.0,1740.0,22.9,47.4,21.75,337.19,0.0,22.9,47.4,21.75
287.0,0.0,1601.0,22.8,47.4,21.75,337.62,0.0,22.8,47.4,21.75
304.0,0.0,1595.0,22.8,47.4,21.81,337.73,0.0,22.8,47.4,21.81
310.0,0.0,1446.0,22.7,47.4,21.75,337.83,0.0,22.7,47.4,21.75
295.0,3343.0,1359.0,22.7,47.2,21.75,337.67,3343.0,22.7,47.2,21.75
286.0,3250.0,1338.0,22.8,47.3,21.75,337.49,3250.0,22.8,47.3,21.75
291.0,0.0,4095.0,22.7,47.3,21.75,337.43,0.0,22.7,47.3,21.75
285.0,0.0,4095.0,22.7,47.3,21.81,337.78,0.0,22.7,47.3,21.81
288.0,0.0,4095.0,22.9,47.3,21.75,337.75,0.0,22.9,47.3,21.75
305.0,0.0,3827.0,23.2,47.7,22.06,0.17,0.0,23.2,47.7,22.06
304.0,0.0,3831.0,23.2,47.7,22.06,0.2,0.0,23.2,47.7,22.06
309.0,0.0,3848.0,23.2,47.6,22.06,0.23,0.0,23.2,47.6,22.06
292.0,0.0,3511.0,23.2,47.7,22.06,0.15,0.0,23.2,47.7,22.06
319.0,0.0,3345.0,23.2,47.7,22.06,259.93,0.0,23.2,47.7,22.06
314.0,0.0,3728.0,23.2,47.7,22.06,339.58,0.0,23.2,47.7,22.06
306.0,0.0,3657.0,23.2,47.7,22.06,339.51,0.0,23.2,47.7,22.06
320.0,0.0,3657.0,23.4,47.7,22.13,339.56,0.0,23.4,47.7,22.13
334.0,2722.0,3493.0,23.2,47.8,22.06,339.54,2722.0,23.2,47.8,22.06
326.0,3203.0,3792.0,23.2,47.7,22.06,339.53,3203.0,23.2,47.7,22.06
